# Duplicate groups this pass deliberately did NOT merge — each needs a human ruling.
# Merging on a gloss heuristic would destroy real homographs: der Zug is train AND
# move-in-a-game, der Kurs is course AND share price, der Satz is sentence AND set.
# term	why	copies
fließend	glosses differ — may be a homograph	C1/Language Acquisition & Linguistics: fluent || B1/Languages & Multilingualism: fluent, fluently
folglich	glosses differ — may be a homograph	C1/Individual & System: consequently, therefore || B2/Core Vocabulary: consequently
fördern	glosses differ — may be a homograph	A2/Miscellaneous: to promote, support || B2/School & Education System: to support, foster || C1/Development & Inequality: to promote, foster || B1/Core Vocabulary: to promote
formulieren	glosses differ — may be a homograph	A2/Miscellaneous: to formulate || C1/Business Correspondence: to formulate, word
frei	glosses differ — may be a homograph	A1/Adjectives: free; available || A2/Core Vocabulary: free
fremd	glosses differ — may be a homograph	A1/Adjectives: foreign, strange || B2/Culture & Encounter: foreign, unfamiliar || B1/Rules & Etiquette: foreign, strange, unfamiliar
funktionieren	glosses differ — may be a homograph	A2/Core verbs: to work, to function || A1/Technology & Devices: to work, function
gehören	glosses differ — may be a homograph	A1/Core verbs: to belong to || B1/Core Vocabulary: to belong
gemeinsam	glosses differ — may be a homograph	A2/Adjectives: together, joint || B1/Core Vocabulary: common / joint
gemütlich	glosses differ — may be a homograph	A2/Adjectives: cosy, comfortable || A1/Housing & Room Search: cosy || B1/Home: cozy, comfortable
gestalten	glosses differ — may be a homograph	A2/Miscellaneous: to design, shape || B1/Arts and culture: to design; to create
glauben	glosses differ — may be a homograph	A1/Core verbs: to believe, to think || A2/Intermediate everyday verbs: to believe, think
glaubwürdig	glosses differ — may be a homograph	C1/Sustainability & CSR: credible || B2/Media Critique: credible, trustworthy
gleichwohl	glosses differ — may be a homograph	C1/Global Economy: nevertheless, nonetheless || C2/Core Vocabulary: nonetheless
gravierend	glosses differ — may be a homograph	B2/Core Vocabulary: serious || C1/Core Vocabulary: grave
heilen	glosses differ — may be a homograph	A2/Treatment: to heal, cure || B1/Body and health: to heal / cure
hell	glosses differ — may be a homograph	A1/Adjectives: bright, light || A2/Colors: light, bright
hervorheben	glosses differ — may be a homograph	C1/Academic Writing: to emphasise || B2/Core Vocabulary: to highlight
herzlich	glosses differ — may be a homograph	A1/Adjectives: warm, cordial || B1/Intermediate descriptive adjectives: warm-hearted, cordial
hingegen	glosses differ — may be a homograph	C1/Academic Writing: by contrast || B2/Core Vocabulary: on the other hand
hinterfragen	glosses differ — may be a homograph	B2/Media Critique: to question, scrutinise || C1/Core Vocabulary: to question
holen	glosses differ — may be a homograph	A1/Core verbs: to fetch, get || A2/Core Vocabulary: to fetch
kalt	glosses differ — may be a homograph	A1/Adjectives: cold || A2/Intermediate descriptive adjectives: cold, unfriendly
kennen	glosses differ — may be a homograph	A1/Core verbs: to know (be familiar with) || A2/Basic verbs: to know (a person/place)
krank	glosses differ — may be a homograph	A1/Body & health: ill, sick || A2/Everyday life basics: sick, ill
kündigen	glosses differ — may be a homograph	B1/Work: to quit; to give notice || B2/Business & Workplace: to resign, give notice
lächerlich	glosses differ — may be a homograph	B2/Adjectives: ridiculous, risible, laughable || B1/Living Together & Housing: ridiculous
lecker	glosses differ — may be a homograph	A1/Adjectives: tasty, delicious || A2/Food and beverages: tasty / delicious
leicht	glosses differ — may be a homograph	A1/Adjectives: light; easy || A2/Miscellaneous: easy; light
leihen	glosses differ — may be a homograph	A2/Money & shopping: to lend; to borrow || B1/Personal finance: to lend, to borrow
liegen	glosses differ — may be a homograph	A1/Core verbs: to lie, to be located || A2/Furniture: to lie, be located
malen	glosses differ — may be a homograph	A1/Free time: to paint, draw || A2/Colors: to paint, to draw
mieten	glosses differ — may be a homograph	A2/Home: to rent || A1/Housing & Room Search: to rent || B1/Intermediate travel and daily life: to rent, to hire
mit	glosses differ — may be a homograph	A2/Spatial relations: with, together with || A1/Core Vocabulary: with
mitmachen	glosses differ — may be a homograph	A1/Social life: to take part, join in || A2/Miscellaneous: to join in
nach	glosses differ — may be a homograph	A2/Spatial relations: to, toward || A1/Core Vocabulary: after / to
nachweisen	glosses differ — may be a homograph	C2/Sources & Evidence: to prove, demonstrate || B2/Science concepts: to prove, detect
offen	glosses differ — may be a homograph	A1/Adjectives: open || A2/Relationships: open, candid
ökologisch	glosses differ — may be a homograph	B1/Farm: organic, ecological || B2/Sustainable Lifestyle: ecological
passen	glosses differ — may be a homograph	A2/Money & shopping: to fit; to suit || A1/Clothing: to fit || B1/Games: to pass (a turn)
prägen	glosses differ — may be a homograph	B2/Values & Norms: to shape, mould || C1/Cultural Identity: to shape, coin, mould
probieren	glosses differ — may be a homograph	A2/Miscellaneous: to try || B1/Food and beverages: to taste / try
recherchieren	glosses differ — may be a homograph	A2/Miscellaneous: to research || B2/News Media: to research, investigate
regeln	glosses differ — may be a homograph	B1/Miscellaneous: to regulate, sort out || C1/Politics & Society: to regulate
reparieren	glosses differ — may be a homograph	A2/Core verbs: to repair, to fix || A1/Miscellaneous: to repair || B1/Intermediate everyday verbs: to repair
richtig	glosses differ — may be a homograph	A1/Adjectives: right, correct || A2/Core Vocabulary: correct
ruhig	glosses differ — may be a homograph	A1/Adjectives: calm, quiet || A2/Apartment & Location: quiet
sauer	glosses differ — may be a homograph	A2/Food & drink: sour; cross || B1/Food and beverages: sour
scharf	glosses differ — may be a homograph	A2/Food & drink: spicy; sharp || B1/Food and beverages: spicy / hot
schließen	glosses differ — may be a homograph	A1/Core verbs: to close || A2/Basic verbs: to close, to shut || B2/Core Vocabulary: to conclude / close
schlüssig	glosses differ — may be a homograph	C2/Rhetoric & Debate: coherent, conclusive || C1/Core Vocabulary: conclusive
schnell	glosses differ — may be a homograph	A1/Adjectives: fast, quick || A2/Core Vocabulary: fast
sich einschreiben	glosses differ — may be a homograph	B1/University & study: to enrol || B2/Studies & Training: to enrol, register
sich engagieren	glosses differ — may be a homograph	B1/Social life: to get involved, commit oneself || C1/Civil Society & Engagement: to get involved, commit
sich erholen	glosses differ — may be a homograph	A2/Health: to recover, relax || B2/Body & Illness: to recover, recuperate || B1/Intermediate everyday verbs: to recover, relax
sich streiten	glosses differ — may be a homograph	A2/Social life: to argue, to quarrel || B1/Living Together & Housing: to argue, quarrel
spannend	glosses differ — may be a homograph	B1/Adjectives: exciting, gripping || B2/Literature & Film: gripping, suspenseful || A2/Intermediate descriptive adjectives: exciting, gripping
sparen	glosses differ — may be a homograph	A2/Money & shopping: to save (money) || B2/Finance & Taxes: to save
speichern	glosses differ — may be a homograph	A2/Communication: to save (a file) || B1/Digital World & Technology: to save (data)
suchen	glosses differ — may be a homograph	A1/Core verbs: to search, look for || A2/Basic verbs: to look for, to search
süß	glosses differ — may be a homograph	A1/Adjectives: sweet; cute || A2/Food and beverages: sweet
sympathisch	glosses differ — may be a homograph	A1/Adjectives: likeable || B1/Intermediate descriptive adjectives: likeable, nice
tätig	glosses differ — may be a homograph	B2/Adjectives: active || B1/Applying for Jobs: working, active (in a field)
trainieren	glosses differ — may be a homograph	A1/Free time: to train || C1/Artificial Intelligence: to train (a model) || A2/Body and health: to train / work out || B1/Fitness and training: to train / work out
triftig	glosses differ — may be a homograph	C2/Rhetoric & Debate: valid, sound || C1/Core Vocabulary: cogent
trotzdem	glosses differ — may be a homograph	A2/Adverbs: nevertheless, anyway || B1/Core Vocabulary: nevertheless
überlegen	glosses differ — may be a homograph	A2/Miscellaneous: to consider, ponder || B1/Intermediate everyday verbs: to think over, consider
umsteigen	glosses differ — may be a homograph	A2/Town & travel: to change (trains/buses) || B1/Transport & Mobility: to change (trains) || B2/Transport & Mobility: to change (trains), switch
umtauschen	glosses differ — may be a homograph	A2/Money & shopping: to exchange (goods) || B1/Intermediate travel and daily life: to exchange
umziehen	glosses differ — may be a homograph	A1/Home: to move (house) || B1/Intermediate everyday verbs: to move (home)
unglaublich	glosses differ — may be a homograph	A2/Miscellaneous: unbelievable || B1/Entertainment & Media: incredible; incredibly
untermauern	glosses differ — may be a homograph	C2/Rhetoric & Debate: to underpin, substantiate || C1/Core Vocabulary: to substantiate
verdienen	glosses differ — may be a homograph	A2/Work: to earn; to deserve || A1/Work & Profession: to earn
verlängern	glosses differ — may be a homograph	A2/Miscellaneous: to extend || B1/Intermediate travel and daily life: to extend, to prolong
vermissen	glosses differ — may be a homograph	A2/Social life: to miss (someone/something) || B1/Miscellaneous: to miss (someone)
vermuten	glosses differ — may be a homograph	B1/Communication: to suspect, to presume || A1/Miscellaneous: to suspect, assume
vernetzt	glosses differ — may be a homograph	B1/Adjectives: interconnected, networked || B2/Social Networks: connected, networked
versuchen	glosses differ — may be a homograph	A2/Core verbs: to try, to attempt || A1/Miscellaneous: to try
vielleicht	glosses differ — may be a homograph	A1/Adverbs: maybe, perhaps || A2/Core Vocabulary: maybe
vorläufig	glosses differ — may be a homograph	C2/Limits of Knowledge: provisional, tentative || B2/Core Vocabulary: preliminary
vorschlagen	glosses differ — may be a homograph	A2/Communication: to suggest, to propose || B1/Intermediate everyday verbs: to suggest
vorsichtig	glosses differ — may be a homograph	A2/Adjectives: careful, cautious || B1/Adjectives: careful, cautious || A1/Miscellaneous: careful
wählen	glosses differ — may be a homograph	B1/Society: to vote, elect; to choose || A2/Politics: to vote; to elect
wechseln	glosses differ — may be a homograph	A2/Work & profession: to change, switch || C1/Multilingualism: to switch, alternate
werben	glosses differ — may be a homograph	A2/Work: to advertise || B1/Advertising & Consumption: to advertise, to promote
wesentlich	glosses differ — may be a homograph	B1/Miscellaneous: essential, substantial || B2/Core Vocabulary: essential
zentral	glosses differ — may be a homograph	A2/Adjectives: central || B1/Intermediate travel and daily life: central, centrally located
zufrieden	glosses differ — may be a homograph	A2/Adjectives: satisfied, content || A1/Miscellaneous: satisfied
zusätzlich	glosses differ — may be a homograph	A2/Miscellaneous: additional(ly) || B1/Work & Colleagues: additional, extra
zusehends	glosses differ — may be a homograph	C1/Core Vocabulary: visibly / increasingly || C2/Core Vocabulary: noticeably
augenscheinlich	part of speech differs	B1/Miscellaneous: evident(ly) || C1/Core Vocabulary: apparently
der öffentliche Nahverkehr	part of speech differs	B2/Transport & Mobility: public local transport (ÖPNV) || B1/Urban life: local public transport
früh	part of speech differs	A1/Basic time concepts: early || A2/Everyday life basics: early
gegenseitig	part of speech differs	B1/Miscellaneous: mutual(ly) || B2/Core Vocabulary: mutual
indem	part of speech differs	B1/Connectors: by (doing); whereby || C1/Individual & System: by (doing sth.), in that
Rad fahren	part of speech differs	A1/Sport & Exercise: to cycle || A2/Everyday life basics: to ride a bike
regelmäßig	part of speech differs	A2/Miscellaneous: regular(ly) || B1/Body and health: regular / regularly
sich kümmern	part of speech differs	A1/Social life: to take care (of) || B1/Core Vocabulary: to take care
spät	part of speech differs	A1/Basic time concepts: late || A2/Everyday life basics: late
täglich	part of speech differs	A1/Basic time concepts: daily, every day || A2/Everyday life basics: daily, every day
